用户问句	名词短语
2月7日首板强庄价位最低板块龙头疫情	首板强庄_|_价位最低板块龙头	True	
2月7日首板强庄价位最低板块龙头最先涨停	首板强庄_|_价位最低板块龙头	True	
2月份港股通南向流入资金最多的股票	港股通_|_流入资金	True	
300031庄家资金进吗	庄家资金	True	
300033保险剔除持股数量	保险	True	
300044机构席位净买入金额	机构席位_|_买入金额	True	
300080庄家亏损怎么样	庄家亏损	True	
300095华伍股份是庄股吗？	华伍股份_|_庄股	True	
300185是庄股还是游资	庄股_|_游资	True	
300206庄家的筹码是多少	庄家的筹码	True	
300222，流通股5.43亿，其中庄股有多少，散户持股有多少？	庄股_|_散户持股	True	
300262有游资和庄家吗	游资_|_庄家	True	
3002963/13日解禁成本多少	3002963/13日	True	
300302庄家仓位	庄家仓位	True	
300335庄家是不是高度控盘了	庄家	True	
300376有庄家吗？庄家是谁？	庄家	True	
300386庄家价	庄家价	True	
300395第二次限制性股票激励解锁条件	解锁条件	True	
300404是庄股吗？怎么操作	庄股	True	
300419异动提醒	异动提醒	True	
300433还有哪些庄家	庄家	True	
300441机构庄家成本	300441_|_机构庄家成本	True	
300471股票的庄家数量	庄家数量	True	
3005091万里马异动情况	万里马_|_异动情况	True	
300510的庄家持股是多少	庄家持股	True	
300523机构调研明细	机构调研明细	True	
300600是不是庄股啊	庄股	True	
300740是否有机构庄家	机构庄家	True	
300751庄家比列	庄家比列	True	
300851庄股还是散户多	庄股_|_散户	True	
30分钟dmidi大于50	dmidi	True	
30分钟k线是什么	k线	True	
30分钟内异动拉升2%~3%的个股	个股	True	
30号公布年报和季报的上市公司有哪些	上市公司	True	
30日内机构席位净买入额占个股成交额之比≥10的股票	机构席位净买入额_|_个股成交额	True	
30亿以下的上市公司有多少家	上市公司	True	
35≥dmiddi12值≥18	dmiddi12	True	
3年内;最新停牌日期	停牌日期	True	
3日线计算规则	3日线	True	
3线是什么意思	3线	True	
3月10日9时25分竞价异动评级为看多	竞价异动评级	True	
3月11日竞价异动风向标	竞价异动风向标	True	
3月31日股东大会召开公告日期	股东大会_|_公告日期	True	
3月4日机构席位增仓的	机构席位	True	
3月9日09:25异动次数大于前一日09:25	异动次数	True	
4.30竞价异动类型:急速上涨	竞价异动类型	True	
4.30日竞价实际换手率大于0.3	竞价实际换手率	True	
4.9股东大会	股东大会	True	
40亿以下20亿以上市值	市值	True	
4300742019年年报财务费用	4300742019	True	
4302132018流动资产2018流动负债2018资产总额2017资产总额2018营业收入2018财务费用2018利润总额2018现金净流量	4302132018	True	
4到8元板块龙头股，st除外，3日缩量庄家抬桥	板块龙头股
4月15日长上影线大于-5%	长上影线
4月1日涨停开盘量比竞价异动非新股	竞价异动_|_开盘量_|_非新股
4月1日主力异常波动	主力异常波动
4月20日股票交易异常波动公告	股票交易异常波动公告
4月22日或23日资金龙虎榜异动的个股	个股
4月24日异动下挫个股	异动下挫个股
4月29日股东大会北京	股东大会
4月29日资金龙虎榜异动个股	资金龙虎榜异动个股
5.18要召开股东大会吗	股东大会
5002727近五年财务费用为多少亿	5002727
500亿的上市公司有多少家	上市公司
510880有哪些上市公司组成	上市公司
5g手机产业链有哪些上市公司	上市公司
5年持有哪些上市公司	上市公司
5日k线图是什么颜色	k线图
5月24日的涨跌幅>0%的换手率环比增长率0%	换手率
600025庄家有谁？	庄家
600027的庄家在了不	庄家
600127庄家是这样控盘	庄家
600170有庄家在里面吗	庄家
600189涨停股复牌分析	涨停股
600191今天庄家是否在出货	庄家
600226是庄家怎么操作的	庄家
600229冲高回落，是压力位，还是庄家拉高出货，今天最高9.36，收盘9.01	庄家_|_压力位
600260是庄家在出货吗？	庄家
600360的庄家盈利	庄家盈利
600459今日大单庄家	大单庄家
600527有无庄家	庄家
600635庄家还在没有	庄家
600690机构评级买入价格	机构评级买入价格
601099庄家筹码多	庄家筹码
603012属叶飞概念股吗?	叶飞概念股
603058永捷股份是不是庄股	永捷股份_|_庄股
603277的6月13日机构席位净额	机构席位净额
6032882017营业费用率	6032882017
603363港股通买入多少	港股通
603369庄家手里有多少股	庄家
603568机构席位买入占比	机构席位
603681没有庄家么	庄家
603709有庄家买吗？	庄家
603886又停牌公告	停牌公告
6039602018年财务费用2017年财务费用2016年财务费用2015年财务费用2014年财务费用2013年财务费用	6039602018
603999现在庄家是多吗	庄家
605068机构评级买入时间	机构评级
60分钟Rs金叉是啥意	Rs金叉
60分钟大单异动的个股	个股
60日港股通累计净买入额	港股通_|_净买入额
60日新高什么意思	60日新高
6300253陆股通持仓	6300253
688027有哪些上市公司股东	上市公司股东
68825620200721复牌明细	复牌明细
688586庄家盈亏	庄家盈亏
6O350O祥和是否筑园孚顶，今天庄家是否有突破	筑园孚顶
6月6日筹码异动的股票	股票
7.31日到8.5日连续两天机构席位个数≥1	机构席位
7-12港股通	港股通
712这股复牌后走势	走势
7日集合竞价异动次数	集合竞价异动次数
7月20日庄家进场涨停，7月20日市场关注度从大到小	市场关注度
7月22号科创板上市公司有哪些	科创板_|_上市公司
7月24日机构评级首次买入	机构评级
7月份披露中上市公司有哪些	上市公司
8.14涨停板庄股	庄股
881142近一周指数@同花顺行业机构调研次数	同花顺行业机构调研次数_|_指数
8月25日低位异动的股	低位异动的股
8月27日集合竟价异动上涨动量最高的二十名股票	股票
8月4号股权激励解禁的股票	股票
8月5号港股通净买入排名	港股通净买入排名
8月5号小米集团港股通成交额	小米集团_|_港股通成交额
8月份和九月份的调研私募名称包含华夏未来	华夏未来
9.1日机构席位首次买入	机构席位
9.3日机构席位首次买入	机构席位
905几号开股东大会	股东大会
90年代的国企上市公司有哪些	国企上市公
9点30分庄家筹码	庄家筹码
9元银海庄家持仓价格	庄家持仓价格
9月1日抄底机构席位的股票	股票
9月27日召开临时股东大会	临时股东大会
9月28号庄家买入信号	庄家_|_买入信号
9月疑似庄股的股票？	疑似庄股
adxadxr>80	adxadxr
adxadxr25	adxadxr
adx上穿adxrpdi<mdi非st	adxrpdi
adx向下di2向下di1小于di2adxr大于adx10日均线大于5日均线2月3日di2向上	di2adxr_|_adx_|_di2
adx向下di2向下di1小于di2adx大于adxr10日均线大于5日均线2月3日di2向上	di2adx
AG有没有庄家	庄家_|_AG
ah股港股通股息率	港股通股息率
ah股可通过港股通购买的股票	港股通_|_股票
ah股是港股通吗	港股通
ah股溢价率港股通	港股通
AH股溢价是什么	AH股溢价
AH股溢价是什么意思	AH股
ah溢价率很高是什么意思	ah溢价率
AI波段雷达计算方法	AI波段雷达
amo是什么	amo
APP支持港股通交易吗	APP
arbr指标怎么看	arbr指标
ASR指标	ASR指标
at是什么	at
A股，：主力资金进场，庄家资金也进场，现在是低估值	低估值
A股.*ST奋达有哪些庄家	*ST奋达_|_庄家
a股.*st西发参股的上市公司有哪些	上市公司
A股.澳柯玛庄家进场	澳柯玛
A股.博雅生物庄家控盘	博雅生物
A股.藏格控股000408该股是不是庄股	庄股_|_藏格控股
A股.常山北明里面有庄家吗	常山北明_|_庄家
A股.丰元股份庄家情况	丰元股份_|_庄家
A股.佛塑科技庄家资金	佛塑科技_|_庄家资金
A股.辅仁药业今日庄家流出状态	辅仁药业
A股.古鳌科技是庄股吗？	古鳌科技_|_庄股
A股.光大证券庄家利润怎么样	光大证券_|_庄家利润
a股.贵州茅台上市当开盘价	a股_|_贵州茅台_|_开盘价
a股.贵州茅台上市当开盘价格	a股_|_贵州茅台_|_开盘价格
a股.贵州茅台上市价	贵州茅台上市价_|_a股
A股.贵州茅台庄家成	贵州茅台_|_庄家成
A股.贵州燃气庄家还在吗	贵州燃气_|_庄家
a股.海尔智2019年销售费用/营业收	海尔智
a股.海康威销售费用/营业收	海康威
A股.航天电器庄家进厂	航天电器
A股.红阳能源庄家洗盘的吗	红阳能源
A股.宏达矿业是不是庄股？	宏达矿业_|_庄股
A股.华脉科技有无庄家进场	华脉科技
a股.华文食品股权激励人数	a股_|_华文食品_|_股权激励人数
A股.坚朗五金是庄股	坚朗五金_|_庄股
A股.江西铜业庄家洗盘吗	江西铜业
A股.金田铜业庄家控盘数量	金田铜业_|_庄家控盘数量
A股.九典制药的庄家	九典制药_|_庄家
a股.九州通近一个月日均换手率	九州通近_|_日均换手率
a股.康恩贝有几家上市公司	a股_|_康恩贝_|_上市公司
A股.凌钢股份庄家持仓	凌钢股份_|_庄家持仓
A股.鲁抗医药庄家持股多少	鲁抗医药_|_庄家持股
A股.罗莱生活庄家数量	罗莱生活_|_庄家数量
A股.派思股份有没有庄家	派思股份_|_庄家
A股.青岛银行是否有庄家	青岛银行_|_庄家
a股.清华控股的上市公司有哪些	a股_|_清华控股_|_上市公司
A股.省广集团庄家增仓了多少	省广集团
a股.盛屯矿业异动	a股_|_盛屯矿业
A股.盛新锂能现在庄家买入多少	盛新锂能
A股.时代新材庄家洗盘	时代新材
A股.太极实业庄家均价	极实业_|_庄家均价
A股.腾达建设有庄家吗	腾达建设_|_庄家
A股.天银机电是庄股么	天银机电_|_庄股
A股.铜陵有色庄家持股比	铜陵有色_|_庄家持股比
a股.万达电影怎么还不复牌	a股_|_万达电影
A股.香飘飘庄家还有多少	香飘飘_|_庄家
A股.芯瑞达庄家	芯瑞达_|_庄家
A股.兴化股份是散户卖出还是庄家卖出	兴化股份
A股.雅本化学庄家是谁	雅本化学_|_庄家
A股.以岭药业庄家出货	以岭药业
a股.游族网络调研价	游族网络调研价
A股.远大智能庄家获利	远大智能_|_庄家获利
a股.浙文互联(旧名)	浙文互联
A股.中粮糖业庄家股本	中粮糖业_|_庄家股本
A股.中能电气庄家筹码	中能电气_|_庄家筹码
A股.中天精装庄股	中天精装_|_庄股
A股002408庄家多少	庄家
a股1000亿上市公司有多少家	上市公司
a股2015年至2018年的上市公司有哪些	上市公司
a股di>-diadx>20<40	diadx
a股港股通连续10日净流入标的	a股港股通
a股机构调研统计	a股
a股君正集团调研报告	a股_|_君正集团调研报告
a股目前的庄股是谁啊？	庄股
a股盘前异动	a股
A股区块链；如何知道个股庄家是谁	个股庄家_|_区块链
A股热点板块排行	热点板块排行
a股入选港股通	港股通
a股市上市公司2019年大于200亿	上市公司
a股未上市港股通	港股通
A股溢价率什么意思	溢价率
a股有几家上市公司re0五年>	a股_|_上市公司
a股有哪些上市公司持有中国稀土	上市公司_|_中国稀土
A股有庄家吗	庄家
a股在上海证交所上市公司有哪些	上海证交所_|_上市公司
A股中纯碱产能谁最大	纯碱产能
BABA的研发费用	BABA
bbd是什么	bbd
BBI 意思	BBI
BBI技术指标公式	BBI技术指标
bbi是啥线	bbi
BBI指标	BBI指标
bbi指标怎么看	bbi指标
Bdi指数	Bdi指数
bias买入信号什么意思	bias买入信号
blpv什么意思	blpv
BND是什么意思	BND
Boll的计算方法	Boll
BOLL是指什么	BOLL
B股什么意思	B股
C2M概念 是什么	C2M概念
cci 是什么意思	cci
cci(cci值)>60*dmi(di1值)>_|_24	60*dmi
cci上穿60庄股	庄股
CCI是什么	CCI
cci预警公式	cci
CHUN-LIN CHEN	CHUN-LIN CHEN
cro是啥	cro
CSP是什么意思	CSP
CXO是什么概念	CXO
CYC是什么指标	CYC
d de散户数量是什么	d de
dal1上穿adxr	dal1
dde大单净额占比什么意思	dde
dde大单净量怎么计算	dde大单净量
dde大单什么意思	dde大单
dde大单是什么	dde
dde大单怎么计算	dde大单
DDE决策使用说明	DDE决策
dde散户数量 意思	dde散户数量
dde散户数量什么意思	dde散户数量
dde散户数量是正数是什么意思	dde散户
DDY指标是什么	DDY指标
di1>di2>adxadxr	adxadxr
di2>adxadxr	adxadxr
di2大于di1pdi上行	di1pdi
dl1上穿dl2adxadxr三线粘合	dl2adxadxr
dmiddi1≤20	dmiddi1
dmiddi12值≥16	dmiddi12
dmiddi1值≤10	dmiddi1
dmiddi1值≤8	dmiddi1
dmiddi2下移	dmiddi2
dmidi2>dmiadx	dmidi2>dmiadx
dmidm1连续上涨	dmidm1
DMI代表什么	DMI
dmi的adx值什么意思	dmi的
DMI指标怎么看	DMI指标
dmi中adx上穿adxr	dmi中adx
dml是什么	dml
ENE是什么	ENE
EPs 是什么意思	EPs
eps 怎么算	eps
equity cost of capital	equity cost of capital
ev是什么	ev
Exxon Mobil Corporation	Exxon Mobil Corporation
GC001是什么公司	GC001
Gerald G Wong	Gerald G Wong
harmonyos h	harmonyos h
HIT电池是什么意思	HIT电池
HK0708是什么意思	HK0708
hk什么意思	hk
HR 是什么意思	HR
H股是什么	H股
idc是什么	idc
IGBT	IGBT
igtb是什么概念	igtb
KDJ 简单点介绍	KDJ
KDJ 啥意思	KDJ
KDJ的意义	KDJ
kdj金叉、skdj超卖。什么意思	kdj金叉_|_skdj超卖
kdj啥意思	kdj
kdj是什么	kdj
kDJ是什么意思	kDJ
KDJ数值代表什么	KDJ数值
KDJ指标的意义	KDJ指标
KDJ指标的作用	KDJ指标
k线的底分型是什么	k线的底分型
k线图上那条线是庄家的成本线	庄家的成本线
k线图怎样看出庄家出货和进场	k线图
K线图中出现下影线是什么意思	下影线
K线指标庄家顶底怎么看	庄家顶底
K线庄家顶底指标怎么使用？	庄家顶底
l1大于adx	l1
L1基金是什么意思	L1基金
L2机构席位使用方法	L2机构席位
level-2有个指标叫机构席位，如何分析	机构席位
LE是什么意思	LE
lg化学核心供应商;	lg化学
liu	liu
lng供气是什么	lng供气
LOW是啥线	LOW
macd 是什么意思	macd
MAcD的红柱和绿柱代表什么意思	MAcD的红柱和绿柱
Macd底背离什么意思	Macd底背离
macd底背离庄股	庄股
MACD顶背离什么意思	MACD
macd金叉，同时庄家抬桥指标出现控盘信号，并且是热点题材	热点题材_|_庄家抬桥指标
macd金叉是什么意思	macd金叉
macd零轴上方金叉强庄股	强庄股
MACD线是什么意思	MACD线
ma均线 什么意思	ma均线
Media Management Hong Kong Lim	Media Management Hong Kong Lim
MicroPortEndovascularCHINACorp.Limited	MicroPortEndovascularCHINACorp.Limited
MSCI指数是什么	MSCI指数
nmn概念是什么	nmn
nmn什么意思	nmn
